ciudad,departamento,tipo,bathrooms,ambientes,habitaciones,metros,price
valledupar,cesar,apartamento,1.0,,2.0,60.0,600000.0
valledupar,cesar,oficina,1.0,,,70.0,2286000.0
valledupar,cesar,casa,4.0,,7.0,353.0,4000000.0
valledupar,cesar,apartamento,2.0,,2.0,168.0,1400000.0
valledupar,cesar,local,,,,15.0,1000000.0
valledupar,cesar,casa,1.0,,4.0,300.0,4700000.0
valledupar,cesar,local,1.0,,,50.0,2500000.0
valledupar,cesar,oficina,1.0,,,60.0,1800000.0
valledupar,cesar,apartamento,1.0,,1.0,20.0,450000.0
valledupar,cesar,local,1.0,,,89.0,13000000.0
valledupar,cesar,apartamento,3.0,,3.0,110.0,1200000.0
valledupar,cesar,bodega,2.0,,,600.0,12000000.0
valledupar,cesar,casa,3.0,,3.0,112.0,1200000.0
valledupar,cesar,casa,2.0,,4.0,163.0,1300000.0
valledupar,cesar,casa,3.0,,3.0,150.0,1300000.0
valledupar,cesar,apartamento,3.0,,2.0,108.0,2500000.0
armenia,quindio,consultorio,1.0,2.0,,40.0,2200000.0
armenia,quindio,apartaestudio,1.0,,1.0,65.0,2850000.0
armenia,quindio,apartamento,2.0,,2.0,89.0,1850000.0
armenia,quindio,apartamento,1.0,,3.0,65.0,600000.0
armenia,quindio,apartamento,3.0,,4.0,145.0,5000000.0
armenia,quindio,apartamento,2.0,,3.0,68.0,2100000.0
armenia,quindio,apartamento,2.0,,3.0,67.0,3000000.0
armenia,quindio,apartamento,1.0,,1.0,37.0,1200000.0
armenia,quindio,apartaestudio,1.0,,1.0,48.0,1350000.0
armenia,quindio,apartamento,2.0,,2.0,67.0,1700000.0
armenia,quindio,apartamento,2.0,,2.0,18.0,1285000.0
armenia,quindio,apartamento,2.0,,3.0,71.0,1650000.0
armenia,quindio,casa,1.0,,2.0,70.0,600000.0
armenia,quindio,apartamento,2.0,,3.0,47.0,2100000.0
armenia,quindio,consultorio,4.0,,,124.0,5000000.0
armenia,quindio,apartaestudio,1.0,,2.0,38.0,1200000.0
armenia,quindio,apartaestudio,1.0,,1.0,36.0,1200000.0
armenia,quindio,apartamento,3.0,,3.0,60.0,2500000.0
armenia,quindio,apartamento,2.0,,3.0,55.0,1100000.0
armenia,quindio,apartamento,2.0,,3.0,64.0,850000.0
armenia,quindio,apartamento,2.0,,2.0,70.0,1900000.0
valledupar,cesar,local,,,,9.0,1000000.0
valledupar,cesar,apartamento,1.0,,3.0,53.0,850000.0
valledupar,cesar,apartamento,4.0,,3.0,180.0,4000000.0
valledupar,cesar,casa,4.0,,3.0,300.0,4800000.0
valledupar,cesar,apartamento,2.0,,2.0,80.0,900000.0
valledupar,cesar,casa,6.0,,12.0,2.0,9000000.0
valledupar,cesar,apartamento,2.0,,3.0,80.0,1000000.0
valledupar,cesar,local,1.0,,,67.0,4060800.0
valledupar,cesar,bodega,1.0,,,486.0,7000000.0
valledupar,cesar,oficina,1.0,,,55.0,1650000.0
valledupar,cesar,casa,9.0,,9.0,150.0,5500000.0
valledupar,cesar,casa,3.0,,4.0,120.0,1650000.0
valledupar,cesar,local,,,,21.0,1450000.0
valledupar,cesar,apartamento,2.0,,3.0,58.0,1100000.0
valledupar,cesar,lote,,,,1.0,1100000.0
valledupar,cesar,local,,,,101.0,6091200.0
valledupar,cesar,apartamento,3.0,,3.0,86.0,1500000.0
valledupar,cesar,casa,3.0,,3.0,200.0,1600000.0
valledupar,cesar,local,,1.0,,22.0,2270000.0
valledupar,cesar,local,1.0,,,217.0,5000000.0
valledupar,cesar,local,1.0,,,60.0,4000000.0
valledupar,cesar,local,,,,60.0,900000.0
valledupar,cesar,apartamento,2.0,,2.0,60.0,600000.0
valledupar,cesar,apartamento,2.0,,2.0,60.0,750000.0
valledupar,cesar,local,1.0,,,60.0,1500000.0
valledupar,cesar,local,1.0,,,38.0,1000000.0
valledupar,cesar,casa,2.0,,3.0,70.0,1300000.0
valledupar,cesar,local,1.0,,,52.0,2000000.0
valledupar,cesar,local,1.0,,,64.0,2700000.0
valledupar,cesar,apartamento,2.0,,3.0,66.0,820000.0
valledupar,cesar,local,,,,104.0,9309790.0
valledupar,cesar,apartamento,1.0,,2.0,100.0,550000.0
valledupar,cesar,casa,3.0,,3.0,110.0,1700000.0
valledupar,cesar,local,1.0,,,55.0,1100000.0
valledupar,cesar,apartaestudio,1.0,,1.0,32.0,450000.0
valledupar,cesar,apartamento,2.0,,3.0,61.0,680000.0
valledupar,cesar,apartaestudio,1.0,,1.0,45.0,670000.0
valledupar,cesar,casa,2.0,,3.0,150.0,1200000.0
valledupar,cesar,casa,3.0,,4.0,360.0,1600000.0
valledupar,cesar,casa,5.0,,4.0,150.0,1600000.0
valledupar,cesar,apartamento,2.0,,3.0,65.0,800000.0
valledupar,cesar,casa,,,3.0,159.0,1200000.0
valledupar,cesar,casa,2.0,,3.0,69.0,800000.0
valledupar,cesar,habitación,1.0,,,20.0,500000.0
valledupar,cesar,apartamento,3.0,,2.0,65.0,900000.0
valledupar,cesar,apartamento,3.0,,2.0,65.0,1800000.0
valledupar,cesar,casa,1.0,,2.0,45.0,470000.0
valledupar,cesar,local,2.0,,,180.0,1500000.0
valledupar,cesar,apartamento,1.0,,3.0,51.0,500000.0
valledupar,cesar,apartamento,3.0,,3.0,300.0,1300000.0
valledupar,cesar,local,1.0,1.0,,25.0,380000.0
valledupar,cesar,apartamento,1.0,,1.0,199.0,650000.0
valledupar,cesar,casa,1.0,,3.0,150.0,800000.0
valledupar,cesar,apartamento,3.0,,3.0,70.0,1200000.0
valledupar,cesar,habitación,,,,12.0,600000.0
valledupar,cesar,local,1.0,,,40.0,850000.0
valledupar,cesar,apartamento,2.0,,3.0,90.0,1800000.0
valledupar,cesar,apartamento,1.0,,3.0,58.0,800000.0
valledupar,cesar,local,1.0,1.0,,50.0,700000.0
